$
[M]950
[S]BNCRCRSJ
[R]CHASUS33XXX
[20]CARGA7
[25]1140128800102750026
[28C]0007
(1)
[60F]D100510USD2240563,26
[61]100510D145,50S1031415700126EZ
[61]100510D185,00S1035230000126FC
[61]100510D300,00S103CA100505354377
[61]100510D300,00S103CA100505284688
[61]100510D485,00S1035327500126FS
[61]100510D500,00S1032010050600017615
[61]100510D511,94S103EBANKGO34112877
[61]100510D572,00S103PEN1840325/00001
[61]100510D665,00S1035777209127FF
[61]100510D670,00S1033651660915435339
[61]100510D685,82S103126364430
[61]100510D844,00S1033587900126FS
[61]100510D949,00S1034049800126FC
[61]100510D1000,00S103ELBANKO22054109
[61]100510D1035,00S1033442909126FF
[61]100510D1037,20S1034088800126FS
[61]100510D1109,70S1036461400126FC
[61]100510D1173,00S1032010050600139002
[61]100510D1200,00S1030763900125ES
[61]100510D1200,00S103A1571TI056570125
[61]100510D1265,00S1035510700126FC
[61]100510D1350,72S1034356400126JO
[61]100510D1480,00S103125418497
[61]100510D1494,96S1032010050600004280
[61]100510D1500,00S103124233220806-5
[61]100510D1674,86S103CA100506036380
[61]100510D1985,00S1031434809126FF
[61]100510D2000,00S1037712NOO01505927
[61]100510D2000,00S1032141189
[61]100510D2396,12S1033651660915479333
[61]100510D2463,50S1032736400124FS
[61]100510D2500,00S1030593900126ES
[61]100510D2685,00S1033057900126JO
[61]100510D2985,00S1035197900126FS
[61]100510D3000,00S103CA100505345492
[61]100510D3060,00S1034670400126JO
[61]100510D3388,50S1032010050400002127
[61]100510D3485,00S1034112209127FF
[61]100510D3500,00S103CA100505356023
[61]100510D3600,00S1031086100126ES
[61]100510D3965,00S1035044600125FC
[61]100510D3985,00S1031988409126FF
[61]100510D4010,00S1030452900126ES
[61]100510D4014,14S1033494000126JO
[61]100510D4206,00S1038602000125FS
[61]100510D4955,00S1035507400126FC
[61]100510D4962,50S1031238600126FS
[61]100510D6591,04S1036684800126FC
[61]100510D7685,00S1033083200130JO
[61]100510D7935,00S1036782000126FC
[61]100510D7985,00S1032381809126FF
[61]100510D8235,00S1033496300126JO
[61]100510D8965,00S1036463100126FC
[61]100510D8985,00S1033082000130JO
[61]100510D9985,00S1036185300126FC
[61]100510D10000,00S1032979109126FF
[61]100510D10381,00S1030120500125JS
[61]100510D10985,00S1032524300126JO
[61]100510D10993,00S1034699400126FC
[61]100510D11000,00S103CA100506030742
[61]100510D15000,00S103100505500941
[61]100510D16500,00S1031277700127ES
[61]100510D16985,00S1036781900126FC
[61]100510D17764,00S1035347109130FF
[61]100510D19817,20S1032010050600012864
[61]100510D20474,05S1037750500127JS
[61]100510D24985,00S1036939400127FC
[61]100510D26990,59S103EBANKGO34160852
[61]100510D27034,20S1030942100130JS
[61]100510D31308,00S1034484409127FF
[61]100510D43500,34S1035754209127FF
[61]100510D43750,44S1034024809126FF
[61]100510D45655,00S1030460600126ZO
[61]100510D50000,00S1032142281
[61]100510D55537,57S1035313209127FF
[61]100510D65434,00S1030120900125JS
[61]100510D69985,00S1034437800126JO
[61]100510D72034,87S103130015240
[61]100510D74806,40S1030965409130FF
[61]100510D95000,00S1035719500125FS
[61]100510D99975,00S1037289600130FC
[61]100510D99985,00S1035401509127FF
[61]100510D108420,94S1034206400130JO
[61]100510D127985,00S1033910900130JO
[61]100510D139857,53S1033161209130FF
[61]100510D149985,00S1033873209127FF
[61]100510D149985,00S1033867009127FF
[61]100510D153264,36S103100507501665
[61]100510D196785,00S1036857200127FC
[61]100510D324959,00S1031037200130FS
[61]100510D668625,00S1030151400130ZO
[61]100510C74,25S10360059165
[61]100510C118,60S10360173473
[61]100510C160,00S10361225109
[61]100510C196,53S10360173455
[61]100510C205,00S10310031988
[61]100510C215,00S10360173507
[61]100510C269,60S10361225225
[61]100510C360,00S10361225564
[61]100510C373,61S10360091199
[61]100510C430,00S10360173428
[61]100510C611,00S10361224814
[61]100510C650,00S10360005226
[61]100510C715,00S10360114996
[61]100510C750,00S10360084811
[61]100510C1083,00S10360077789
[61]100510C1200,00S10361224583
[61]100510C1222,00S10362166673
[61]100510C1225,00S10362166913
[61]100510C1500,00S10362166986
[61]100510C1654,00S10362167039
[61]100510C1750,00S10360077805
[61]100510C1846,51S10361225396
[61]100510C2000,00S10361224663
[61]100510C2000,00S10362167093
[61]100510C2609,00S10360077716
[61]100510C2636,00S10361225671
[61]100510C2828,00S10360056743
[61]100510C2900,00S10362167379
[61]100510C2970,00S10360078050
[61]100510C3000,00S10362167725
[61]100510C3035,38S10360198273
[61]100510C3119,20S10361224869
[61]100510C3584,00S10362167716
[61]100510C3900,00S10360078005
[61]100510C4000,00S10362166959
[61]100510C4000,00S10360059166
[61]100510C4229,00S10360029847
[61]100510C4654,00S10361225653
[61]100510C4694,27S10361224477
[61]100510C5000,00S10360091153
[61]100510C5072,40S10360060551
[61]100510C5695,20S10361225154
[61]100510C5700,00S10360198282
[61]100510C6000,00S10360092704
[61]100510C6500,00S10362167440
[61]100510C6600,00S10360038391
[61]100510C6711,60S10361224789
[61]100510C6885,00S10361225010
[61]100510C6934,98S10362167654
[61]100510C7003,23S10362167404
[61]100510C7200,00S10360078078
[61]100510C7212,78S10360114987
[61]100510C7293,22S10361225047
[61]100510C9471,91S10360114969
[61]100510C9573,75S10361225083
[61]100510C9788,00S10360198237
[61]100510C9826,50S10362167761
[61]100510C10000,00S10360059174
[61]100510C10084,32S10361224495
[61]100510C10878,48S10360059156
[61]100510C11249,93S10360092688
[61]100510C13885,49S10360077814
[61]100510C18787,60S10360091206
[61]100510C20000,00S10360198264
[61]100510C20013,77S10361225029
[61]100510C22862,80S10362167958
[61]100510C25000,00S10360173357
[61]100510C30000,00S10360060588
[61]100510C30106,00S10360029838
[61]100510C30826,00S10360114923
[61]100510C40000,00S10362166851
