$
[M]950
[S]BNCRCRSJ
[R]CHASUS33XXX
[20]CARGA8
[25]1140128800102750026
[28C]0008
(1)
[60F]D100511USD2095273,30
[61]100511D2191,50S1032901909126FF
[61]100511D2302,00S1035813000125FS
[61]100511D2351,52S1037653400127JS
[61]100511D2467,00S1030120600125JS
[61]100511D2485,00S1031796700126FC
[61]100511D2485,00S1034657900130FC8
[61]100511D2562,50S103167589063
[61]100511D2588,00S1032917309126FF
[61]100511D2606,60S103A8647TI152210126
[61]100511D2630,00S1031299800126ES
[61]100511D2765,00S1036676100126FC
[61]100511D2883,00S1039827400130FS
[61]100511D2985,00S1033031909126FF
[61]100511D2985,00S1031520100127FC
[61]100511D2985,00S1035859209127FF
[61]100511D3000,00S103MINO103101260183
[61]100511D3000,00S103126313320
[61]100511D3110,00S1033380809126FF
[61]100511D3235,00S1033491909127FF
[61]100511D3510,00S1036334800130FC
[61]100511D3516,47S1038690400124JS
[61]100511D3592,38S103EBANKGO34117509
[61]100511D3645,47S1033995500125JO
[61]100511D3655,00S1030120800125JS
[61]100511D3758,40S1037433600127JS
[61]100511D3965,00S1039469800125FS
[61]100511D4000,00S1032010050600030327
[61]100511D4000,00S1032010050700159937
[61]100511D4334,86S1033830400126JO
[61]100511D4760,00S103EBANKGO34159087
[61]100511D4785,00S1032469000126FS
[61]100511D4850,00S103CA100506332182
[61]100511D4985,00S1034717300127FC
[61]100511D5000,00S1030208000126ES
[61]100511D5000,00S1032010050600003859
[61]100511D5000,00S1030885700126ES
[61]100511D5085,00S1034828800127FC
[61]100511D5483,88S1031811800126FC
[61]100511D5578,50S1031247809126FF
[61]100511D6415,00S1036312000127FC
[61]100511D6970,00S1031412600126EZ
[61]100511D6985,00S1031308209126FF
[61]100511D7000,00S103CA100506020135
[61]100511D7000,00S1037352600125FS
[61]100511D7035,00S1030120400125JS
[61]100511D7500,00S1032010050600014999
[61]100511D7500,00S1032010050600015144
[61]100511D7592,25S1034806800125JO
[61]100511D8000,00S103TOA055UIG0000MTZ
[61]100511D8715,00S103100507501807
[61]100511D8832,97S1032092009127FF
[61]100511D9056,25S103CA100507035794
[61]100511D9075,48S1034837909126FF
[61]100511D9750,00S1033651660915479706
[61]100511D9800,00S1030661800127ES
[61]100511D9965,00S1039514300126JS
[61]100511D9985,00S1030798700126FR
[61]100511D9985,00S1037279000127FS
[61]100511D10000,00S103A0863TI072090124
[61]100511D10000,00S103BF1005040003403A
[61]100511D11185,00S1035322109127FF
[61]100511D11407,80S1036080500127FC
[61]100511D11484,10S1033015864396
[61]100511D11485,00S1034963900126JO
[61]100511D11485,00S1031092709127FF
[61]100511D11960,00S1037267800127FC
[61]100511D12655,00S1032010050700026023
[61]100511D12985,00S1035045109126FF
[61]100511D13136,88S1036481100127FC
[61]100511D13405,00S1030120700125JS
[61]100511D13555,20S1039700600125FS
[61]100511D15095,00S103CA100506041735
[61]100511D15469,28S1032010050600033090
[61]100511D20000,00S1037303660915451085
[61]100511D21700,00S1032010050700026030
[61]100511D23200,00S1036234700130FC
[61]100511D23985,00S1031060500130JO
[61]100511D24959,00S1031260500126FS
[61]100511D24985,00S1032784900127JO
[61]100511D24985,00S1037279200127FS
[61]100511D27500,00S1037303660915502746
[61]100511D28370,00S103CA100506041741
[61]100511D28996,79S103A1002424625103
[61]100511D29985,00S1032508100127FC
[61]100511D32000,00S103CA100507034571
[61]100511D34667,00S1037225600126JS
[61]100511D36460,00S1037008800127FC
[61]100511D37891,50S1035582000127JS
[61]100511D38758,10S1032569300127JS
[61]100511D39960,00S1036597500131FC
[61]100511D41887,00S103127401708
[61]100511D45000,00S1036076UBBIH301023
[61]100511D73335,00S1037683900127JS
[61]100511D105947,00S1032010051019190136
[61]100511D114978,38S1032010050500025942
[61]100511D122976,00S103130214339739-7
[61]100511D140000,00S103F60507305768000
[61]100511D176985,00S1032526109131FF
[61]100511D416375,00S103CA100506333361
[61]100511D599985,00S1033645709130FF
[61]100511D999985,00S1033645609130FF
[61]100511D1399985,00S1033645809130FF
[61]100511C100,00S10360038408
[61]100511C246,85S10360198497
[61]100511C434,20S10360060640
[61]100511C461,25S10360078201
[61]100511C500,00S10362168715
[61]100511C525,00S10361225902
[61]100511C558,10S10362168742
[61]100511C624,00S10361225895
[61]100511C825,00S10360059218
[61]100511C975,67S10361226705
[61]100511C978,00S10360012086
[61]100511C1000,00S10362168993
[61]100511C1252,08S10361226260
[61]100511C1329,20S10361226251
[61]100511C1699,00S10362167903
[61]100511C1890,00S10361226206
[61]100511C1944,00S10362168083
[61]100511C1967,73S10361225742
[61]100511C2035,59S10362168092
[61]100511C2118,64S10361226171
[61]100511C2205,28S10362168350
[61]100511C2258,64S10361225822
[61]100511C2515,00S10361226322
[61]100511C2565,86S10361226126
[61]100511C2580,25S10360198442
[61]100511C3000,00S10362168207
[61]100511C3115,00S10362168911
[61]100511C3481,10S10340031299
[61]100511C3833,00S10360060659
[61]100511C4359,98S10360173641
[61]100511C4700,00S10360078103
[61]100511C5228,88S10362168163
[61]100511C5966,82S10360012095
[61]100511C6650,00S10360059245
[61]100511C7577,00S10361226180
[61]100511C8000,00S10362167967
[61]100511C8000,00S10362168029
[61]100511C8053,25S10361227125
[61]100511C8526,11S10362167930
[61]100511C8616,39S10360173598
[61]100511C11240,40S10361225779
[61]100511C11834,76S10361226073
[61]100511C11974,00S10361226634
[61]100511C12300,00S10362168957
[61]100511C12954,00S10360198460
[61]100511C14077,61S10361226064
[61]100511C14159,09S10361225760
[61]100511C15603,78S10361226439
[61]100511C20162,50S10360059227
[61]100511C21081,60S10361226652
[61]100511C22407,00S10362168877
[61]100511C23280,00S10361225939
[61]100511C27090,00S10361226714
[61]100511C28000,00S10361226340
[61]100511C29230,26S10360198479
[61]100511C29284,00S10361227045
[61]100511C30000,00S10362168298
[61]100511C30000,00S10362168868
[61]100511C31027,00S10361225984
[61]100511C31661,45S10362168314
[61]100511C33339,50S10361226769
[61]100511C35107,70S10360115076
[61]100511C35436,02S10361226046
[61]100511C36691,24S10361225993
[61]100511C41280,00S10362167949
[61]100511C41503,15S10361225911
[61]100511C41870,29S10362168332
[61]100511C42900,15S10361227081
[61]100511C71251,60S10361226402
[61]100511C97361,10S10361226135
[61]100511C116212,68S10360047990
[61]100511C5000000,00S1035105-03
(LOTE162,REFTRASPASOSDRFLI)
[62F]D100511USD1237495,32
@@
