$
[M]950
[S]BNCRCRSJ
[R]CHASUS33XXX
[20]CARGA8
[25]1140128800102750026
[28C]0008
(1)
[60F]D100511USD2095273,30
[61]100511D14,00S103OP050998745
[61]100511D116,00S1037080200127FC
[61]100511D136,55S1032010050600003513
[61]100511D150,00S1031296700127ES
[61]100511D200,00S1031118600127ES
[61]100511D217,56S1032799100127JO
[61]100511D235,00S1038335700126JS
[61]100511D255,01S1031580600127EZ
[61]100511D290,00S1030597000127ES
[61]100511D300,00S1030237100126ES
[61]100511D385,00S1032785709127FF
[61]100511D400,00S1036076UBBIN300629
[61]100511D464,64S1036653000126FC
[61]100511D500,00S1030829400126ES
[61]100511D500,00S1030235900126ES
[61]100511D500,00S1030054400127ES
[61]100511D500,00S1030394900130ES
[61]100511D500,00S1031005300130ES
[61]100511D527,71S1032251000127JO
[61]100511D587,40S1032010050700252282
[61]100511D590,00S103074MGX0432665ES2
[61]100511D593,20S1030656200126ES
[61]100511D600,00S1030847500126ES
[61]100511D600,00S103CA100506034990
[61]100511D600,00S1030753800127ES
[61]100511D659,00S1035581800124JS
[61]100511D715,10S1031959100126FS
[61]100511D716,57S1033371309127FF
[61]100511D735,29S1032010050600003516
[61]100511D765,00S103MINO103101260191
[61]100511D796,00S1034374109127FF
[61]100511D800,00S1030861500127ES
[61]100511D844,00S1031233300130ES
[61]100511D856,40S1034359709127FF
[61]100511D900,00S1030823500126ES
[61]100511D900,00S1030787800127ES
[61]100511D900,00S1030194700127ES
[61]100511D950,00S1032010050700028456
[61]100511D1000,00S1031307600126ES
[61]100511D1010,00S103P80423962321
[61]100511D1035,00S1031466000127ES
[61]100511D1050,00S1032010050600018238
[61]100511D1100,00S103CA100506364774
[61]100511D1160,00S1035059200127FC
[61]100511D1249,00S1034072100125FS
[61]100511D1285,00S1035211809127FF
[61]100511D1300,00S103FTS1005065279300
[61]100511D1349,98S1032010050700002683
[61]100511D1363,56S1039033/OTT/IB3275
[61]100511D1399,38S103CA100506383548
[61]100511D1400,00S1030130800127ES
[61]100511D1420,00S1030702100127ES
[61]100511D1457,00S103127372062
[61]100511D1500,00S1039598900126JS
[61]100511D1500,00S1030411700127ES
[61]100511D1500,00S1031356300127ES
[61]100511D1500,00S1030487100130ES
[61]100511D1600,00S1030180800130ES
[61]100511D1625,00S1031398600127ES
[61]100511D1650,00S1032142584
[61]100511D1669,00S1036725900126FC
[61]100511D1686,00S103EBANKGO34161661
[61]100511D1800,00S1030743400127ES
[61]100511D1813,48S1030281800127ES
[61]100511D1854,00S1039535200125FS
[61]100511D1985,0S1032732600127JO
[61]100511D2000,00S1031297000126ES
[61]100511D2122,36S103127440969
[61]100511D2123,52S1036080300127FC
