$
[M]950
[S]BNCRCRSJ
[R]CHASUS33XXX
[20]CARGA9
[25]1140128800102750026
[28C]0009
(1)
[60F]D100512USD1237495,32
[61]100512C6072,00S10330061033
[61]100512C6072,00S10330061060
[61]100512C6124,80S10330061239
[61]100512C6240,98S10360078247
[61]100512C6240,99S10360078229
[61]100512C6500,00S10362169386
[61]100512C6620,30S10362169457
[61]100512C7000,00S10362170392
[61]100512C7500,00S10361227287
[61]100512C8750,00S10360115174
[61]100512C9500,00S10360056832
[61]100512C9500,00S10360115129
[61]100512C10000,00S10360173614
[61]100512C10050,00S10361226885
[61]100512C10488,33S10360078047
[61]100512C11660,00S10361228188
[61]100512C11967,34S10362170640
[61]100512C12833,65S10361227278
[61]100512C13000,00S10362170702
[61]100512C13695,00S10362169938
[61]100512C13769,00S10361226901
[61]100512C13769,00S10361226910
[61]100512C15900,24S10361227697
[61]100512C16000,00S10362169590
[61]100512C18816,18S10361227198
[61]100512C18957,89S10362169466
[61]100512C20000,00S10362170677
[61]100512C22200,00S10361227642
[61]100512C22943,23S10362170579
[61]100512C23790,00S10360198512
[61]100512C25000,00S10361227223
[61]100512C27641,50S10362169260
[61]100512C28282,88S10362169689
[61]100512C28866,00S10360078265
[61]100512C29033,25S10362169634
[61]100512C50000,00S10361226894
[61]100512C59600,00S10362169821
[61]100512C60247,00S10361227802
[61]100512C75088,08S10360043100
[61]100512C85354,06S10361227312
[61]100512C196745,00S10362170356
[61]100512C266378,00S10360084866
[61]100512C276852,34S10361227072
[62F]D100512USD2809840,22
@@
